"Date","Price","Open","High","Low","Vol.","Change %"
"24-07-2025","2,608.40","2,615.40","2,624.20","2,595.00","253.78K","-0.23%"
"23-07-2025","2,614.50","2,600.70","2,625.90","2,593.50","316.42K","1.03%"
"22-07-2025","2,587.80","2,626.00","2,630.00","2,581.60","387.06K","-1.21%"
"21-07-2025","2,619.50","2,596.30","2,624.90","2,585.00","369.78K","0.90%"
"18-07-2025","2,596.10","2,612.00","2,626.70","2,584.20","479.94K","-0.78%"
"17-07-2025","2,616.60","2,612.00","2,654.50","2,605.30","785.77K","0.31%"
"16-07-2025","2,608.50","2,602.50","2,619.50","2,595.50","686.64K","0.40%"
"15-07-2025","2,598.20","2,588.00","2,606.90","2,576.00","379.43K","0.65%"
"14-07-2025","2,581.30","2,555.00","2,604.80","2,543.50","536.59K","0.88%"
"11-07-2025","2,558.70","2,575.00","2,591.90","2,551.90","390.65K","-0.86%"
"10-07-2025","2,581.00","2,591.00","2,604.00","2,575.00","306.57K","-0.08%"
"09-07-2025","2,583.00","2,599.00","2,609.90","2,570.00","396.88K","-0.32%"
"08-07-2025","2,591.30","2,586.00","2,600.00","2,573.00","357.70K","0.59%"
"07-07-2025","2,576.10","2,602.00","2,605.40","2,572.00","412.16K","-0.88%"
"04-07-2025","2,599.10","2,617.00","2,617.00","2,582.20","370.31K","-0.46%"
"03-07-2025","2,611.20","2,634.00","2,644.00","2,605.10","502.72K","-0.72%"
"02-07-2025","2,630.20","2,634.00","2,646.00","2,613.60","621.41K","0.32%"
"01-07-2025","2,621.80","2,624.90","2,645.00","2,603.00","729.20K","0.09%"
"30-06-2025","2,619.40","2,650.00","2,653.90","2,605.90","694.82K","-1.02%"
"27-06-2025","2,646.30","2,587.70","2,681.60","2,582.00","4.05M","2.32%"
"26-06-2025","2,586.20","2,535.00","2,593.60","2,522.20","1.34M","2.33%"
"25-06-2025","2,527.20","2,519.90","2,541.60","2,512.10","921.35K","0.86%"
"24-06-2025","2,505.60","2,504.00","2,544.60","2,500.20","996.41K","1.36%"
"23-06-2025","2,472.00","2,438.00","2,492.60","2,421.00","790.54K","0.96%"
"20-06-2025","2,448.40","2,428.00","2,461.30","2,415.00","3.00M","1.15%"
"19-06-2025","2,420.60","2,466.30","2,468.90","2,405.10","688.21K","-1.57%"
"18-06-2025","2,459.10","2,491.90","2,495.90","2,445.40","667.04K","-1.18%"
"17-06-2025","2,488.50","2,535.00","2,539.60","2,479.00","703.34K","-2.18%"
"16-06-2025","2,544.00","2,500.00","2,563.30","2,462.00","956.46K","1.44%"
"13-06-2025","2,507.90","2,498.00","2,516.00","2,460.00","695.87K","-1.41%"
"12-06-2025","2,543.70","2,591.50","2,601.80","2,530.00","955.10K","-1.45%"
"11-06-2025","2,581.20","2,630.00","2,630.90","2,563.10","745.43K","-1.22%"
"10-06-2025","2,613.10","2,600.00","2,663.20","2,577.70","2.08M","1.20%"
"09-06-2025","2,582.10","2,545.00","2,604.10","2,524.50","1.71M","1.89%"
"06-06-2025","2,534.20","2,514.90","2,553.30","2,504.00","640.68K","1.19%"
"05-06-2025","2,504.40","2,495.00","2,530.10","2,487.50","673.21K","0.60%"
"04-06-2025","2,489.40","2,480.00","2,503.00","2,441.10","552.67K","0.75%"
"03-06-2025","2,470.90","2,511.00","2,512.50","2,452.00","962.71K","-1.90%"
"02-06-2025","2,518.80","2,527.00","2,564.00","2,514.90","1.01M","-0.04%"
"30-05-2025","2,519.90","2,550.00","2,564.00","2,513.80","684.59K","-0.82%"
"29-05-2025","2,540.80","2,536.70","2,559.00","2,511.00","802.32K","1.03%"
"28-05-2025","2,515.00","2,559.00","2,559.00","2,510.00","575.99K","-1.00%"
"27-05-2025","2,540.30","2,545.90","2,569.10","2,526.10","514.94K","-0.29%"
"26-05-2025","2,547.70","2,549.10","2,568.90","2,541.30","552.91K","0.30%"
"23-05-2025","2,540.00","2,499.00","2,548.10","2,490.50","968.42K","2.11%"
"22-05-2025","2,487.60","2,500.40","2,521.90","2,465.30","906.91K","-0.51%"
"21-05-2025","2,500.40","2,509.70","2,524.50","2,483.70","529.23K","-0.05%"
"20-05-2025","2,501.60","2,545.00","2,564.80","2,492.50","628.02K","-1.54%"
"19-05-2025","2,540.60","2,571.30","2,578.80","2,536.00","681.00K","-0.56%"
"16-05-2025","2,555.00","2,529.00","2,584.20","2,516.20","1.64M","1.39%"
"15-05-2025","2,520.00","2,463.40","2,526.80","2,450.70","1.55M","2.36%"
"14-05-2025","2,461.90","2,444.90","2,481.90","2,430.10","774.44K","0.85%"
"13-05-2025","2,441.20","2,425.00","2,454.90","2,405.00","1.82M","0.66%"
"12-05-2025","2,425.30","2,350.00","2,433.30","2,315.00","2.15M","7.74%"
"09-05-2025","2,251.00","2,240.00","2,273.10","2,233.00","1.01M","-1.50%"
"08-05-2025","2,285.30","2,362.00","2,367.80","2,260.00","1.38M","-2.88%"
"07-05-2025","2,353.10","2,315.00","2,379.50","2,315.00","1.01M","-0.04%"
"06-05-2025","2,354.00","2,454.00","2,463.20","2,343.50","1.52M","-4.13%"
"05-05-2025","2,455.50","2,312.60","2,497.00","2,297.80","4.23M","7.03%"
"02-05-2025","2,294.20","2,349.90","2,372.40","2,289.40","1.96M","-0.31%"
"30-04-2025","2,301.30","2,331.40","2,340.00","2,285.00","837.46K","-1.26%"
"29-04-2025","2,330.60","2,392.00","2,400.00","2,325.60","670.73K","-1.65%"
"28-04-2025","2,369.80","2,346.00","2,402.00","2,337.60","681.42K","0.66%"
"25-04-2025","2,354.30","2,450.10","2,459.50","2,323.50","1.41M","-3.61%"
"24-04-2025","2,442.50","2,450.00","2,461.40","2,425.10","596.70K","-0.45%"
"23-04-2025","2,453.60","2,460.00","2,473.80","2,421.20","672.26K","0.33%"
"22-04-2025","2,445.50","2,458.90","2,483.40","2,441.00","766.57K","0.11%"
"21-04-2025","2,442.70","2,426.10","2,464.90","2,395.50","782.56K","1.02%"
"17-04-2025","2,418.10","2,418.00","2,448.60","2,392.00","1.05M","0.10%"
"16-04-2025","2,415.60","2,400.00","2,428.00","2,382.90","889.95K","-0.11%"
"15-04-2025","2,418.20","2,375.00","2,440.00","2,359.00","1.15M","4.17%"
"11-04-2025","2,321.40","2,303.05","2,343.50","2,281.00","981.46K","3.78%"
"09-04-2025","2,236.90","2,265.70","2,279.55","2,215.20","1.00M","-2.14%"
