"Date","Price","Open","High","Low","Vol.","Change %"
"27-06-2025","1,502.40","1,502.00","1,508.70","1,492.00","1.85M","-0.56%"
"26-06-2025","1,510.80","1,508.01","1,519.38","1,500.02","1.44M","0.25%"
"25-06-2025","1,507.01","1,506.91","1,514.99","1,497.03","1.03M","0.51%"
"24-06-2025","1,499.42","1,503.71","1,515.29","1,497.23","1.35M","0.22%"
"23-06-2025","1,496.13","1,496.73","1,501.92","1,479.16","657.38K","-0.04%"
"20-06-2025","1,496.73","1,481.06","1,505.21","1,478.16","1.92M","0.86%"
"19-06-2025","1,484.00","1,502.40","1,509.80","1,480.20","1.12M","-0.94%"
"18-06-2025","1,498.10","1,503.50","1,512.90","1,495.90","1.08M","-0.36%"
"17-06-2025","1,503.50","1,527.00","1,533.40","1,495.50","1.33M","-1.54%"
"16-06-2025","1,527.00","1,501.90","1,541.00","1,499.80","2.68M","1.45%"
"13-06-2025","1,505.20","1,480.00","1,510.50","1,480.00","874.32K","0.16%"
"12-06-2025","1,502.80","1,527.00","1,537.90","1,494.50","1.20M","-1.24%"
"11-06-2025","1,521.70","1,512.50","1,527.90","1,509.40","1.05M","0.72%"
"10-06-2025","1,510.80","1,508.90","1,513.20","1,505.00","929.79K","0.28%"
"09-06-2025","1,506.60","1,511.70","1,511.70","1,497.00","689.63K","0.16%"
"06-06-2025","1,504.20","1,489.80","1,505.90","1,484.00","861.88K","0.97%"
"05-06-2025","1,489.80","1,476.00","1,498.80","1,475.00","1.57M","1.22%"
"04-06-2025","1,471.90","1,473.20","1,488.00","1,465.90","1.30M","-0.09%"
"03-06-2025","1,473.20","1,472.40","1,479.40","1,460.40","870.33K","0.20%"
"02-06-2025","1,470.20","1,468.00","1,474.80","1,458.00","962.90K","0.31%"
"30-05-2025","1,465.70","1,476.00","1,489.00","1,457.10","7.04M","-0.76%"
"29-05-2025","1,476.90","1,475.00","1,479.50","1,463.00","1.38M","0.57%"
"28-05-2025","1,468.50","1,485.00","1,486.00","1,465.00","1.09M","-0.81%"
"27-05-2025","1,480.50","1,485.70","1,491.90","1,475.80","881.73K","-0.25%"
"26-05-2025","1,484.20","1,486.10","1,493.90","1,478.50","885.02K","0.00%"
"23-05-2025","1,484.20","1,468.50","1,489.00","1,461.00","915.29K","1.07%"
"22-05-2025","1,468.50","1,483.00","1,489.70","1,460.10","1.80M","-0.94%"
"21-05-2025","1,482.40","1,459.00","1,491.00","1,454.60","2.00M","1.93%"
"20-05-2025","1,454.40","1,495.40","1,497.80","1,451.20","3.57M","-2.49%"
