"Date","Price","Open","High","Low","Vol.","Change %"
"10-01-2025","4,000.50","4,095.00","4,095.00","3,981.00","1.32M","-2.36%"
"09-01-2025","4,097.35","4,117.00","4,133.35","4,057.20","1.13M","-0.30%"
"08-01-2025","4,109.80","4,171.00","4,181.70","4,100.00","958.21K","-1.29%"
"07-01-2025","4,163.40","4,109.50","4,199.00","4,105.10","706.29K","1.50%"
"06-01-2025","4,101.75","4,218.00","4,220.00","4,070.00","1.13M","-2.48%"
"03-01-2025","4,206.00","4,240.00","4,270.05","4,197.00","853.00K","-0.70%"
"02-01-2025","4,235.80","4,180.00","4,242.00","4,177.95","1.35M","1.57%"
"01-01-2025","4,170.20","4,178.35","4,187.25","4,127.00","696.85K","-0.20%"
"31-12-2024","4,178.35","4,081.05","4,198.90","4,081.00","901.28K","2.38%"
"30-12-2024","4,081.05","4,239.00","4,250.00","4,050.00","3.29M","-3.60%"
"27-12-2024","4,233.35","4,240.00","4,293.00","4,203.20","873.12K","0.10%"
"26-12-2024","4,229.20","4,233.00","4,245.00","4,195.00","637.40K","0.31%"
"24-12-2024","4,216.20","4,255.00","4,281.50","4,205.75","947.70K","-0.23%"
"23-12-2024","4,226.00","4,239.00","4,249.85","4,150.00","947.68K","0.85%"
"20-12-2024","4,190.20","4,385.00","4,420.00","4,175.00","1.60M","-4.44%"
"19-12-2024","4,385.10","4,399.45","4,442.95","4,375.00","1.08M","-2.18%"
"18-12-2024","4,482.85","4,624.40","4,628.00","4,472.35","1.24M","-3.02%"
"17-12-2024","4,622.60","4,676.00","4,716.00","4,605.40","936.88K","-1.15%"
"16-12-2024","4,676.35","4,692.10","4,699.00","4,651.15","741.56K","0.14%"
"13-12-2024","4,669.65","4,754.50","4,755.00","4,660.55","3.31M","0.20%"
"12-12-2024","4,660.55","4,650.00","4,723.45","4,645.00","1.33M","0.23%"
"11-12-2024","4,649.70","4,624.55","4,660.00","4,591.55","767.76K","0.48%"
"10-12-2024","4,627.70","4,627.00","4,649.90","4,601.00","1.31M","0.19%"
"09-12-2024","4,618.95","4,561.00","4,646.95","4,551.00","1.52M","1.30%"
"06-12-2024","4,559.65","4,584.40","4,611.10","4,550.00","912.03K","-0.20%"
"05-12-2024","4,568.85","4,540.00","4,577.00","4,513.25","1.13M","1.05%"
